UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-FLNQZ,Ford,Tourneo Custom,Tourneo Custom 320 Zetec EcoBlue,1,V362,43711,NULL,Diesel,VDC,NULL,Van Derived Car,4,3200,ICE,1996,2,Turbocharged,77,103,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-FLYNT,Volkswagen,Caddy,Caddy Maxi C20 Life TDI,5,SB,44344,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1968,2,Turbocharged,90,120,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-FQJQP,Mercedes-Benz,Sprinter,Sprinter 419 CDI Auto,NULL,VS30,45008,NULL,Diesel,HCV,NULL,Panel Van,NULL,4100,ICE,2987,3,Turbocharged,140,190,NULL,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,87
M-FSPLW,Peugeot,Rifter,Rifter Horizon RE TD,3,K9,43558,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-FSZKW,Isuzu,D-Max,D-Max Utility,3,TER,44238,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,89
M-FWZBL,Ford,Tourneo Custom,Tourneo Custom 320 Titanium EcoBlue,1,V362,43685,NULL,Diesel,VDC,NULL,Van Derived Car,4,3200,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-FZYSK,Peugeot,Rifter,Rifter Premier RS Plus Auto,3,K9,45145,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,96,128,8,Automatic,4x2,Front,NULL,ICE,Current,FALSE,30
M-GDFKV,Isuzu,D-Max,D-Max DL20 Auto,3,TER,44294,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Automatic,4x4,All - Selected,NULL,ICE,Current,TRUE,86
M-GFEDA,Renault,Trafic,TRAFIC SL28 SPORT BLUE DCI A,NULL,X82,44666,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,125,167,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,88
M-GPKCQ,Ford,Transit,Transit 460 Trend EcoBlue,5,V363,43709,NULL,Diesel,PSV,NULL,Minibus,NULL,4600,ICE,1996,2,Turbocharged,95,128,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-GSFYP,Isuzu,D-Max,D-Max V-Cross,3,TER,44197,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,89
